country,power_index,total_population,gdp,defense_budget,external_debt,total_manpower,active_personnel,reserve_personnel,total_aircraft,fighter_aircraft,trainer_aircraft,special_mission_aircraft,helicopters,attack_helicopters,tanks_stock,tanks_readiness,self_propelled_artillery_stock,self_propelled_artillery_readiness,towed_artillery_stock,towed_artillery_readiness,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare
Estonia,2.3201,"1,193,791","$57,001,000,000","$2,375,000,000","$29,040,000,000","584,958","7,700","230,000",2,0,0,0,0,0,0,0,48,34,0,0,8,0,0,0,0,0,0,4,4
Ethiopia,0.8525,"118,550,298","$380,895,000,000","$3,720,968,976","$25,426,000,000","56,904,143","503,000","138,000",104,25,34,0,33,7,338,220,142,92,469,305,,,,,,,,,
Finland,0.8673,"5,626,414","$313,591,000,000","$8,890,000,000","$726,000,000,000","2,306,830","24,000","870,000",162,53,77,1,27,0,200,150,125,94,667,500,165,0,0,0,0,0,0,8,18
France,0.1798,"68,374,591","$3,732,000,000,000","$67,232,395,000","$7,691,315,390,000","30,084,820","264,000","43,444",974,223,140,44,452,67,427,342,74,59,0,0,166,1,3,11,5,0,9,22,19
Gabon,3.0432,"2,455,105","$48,045,000,000","$340,950,000","$6,442,000,000","932,940","5,000",0,25,6,0,0,16,0,0,0,0,0,4,2,5,0,0,0,0,0,0,4,0
Georgia,2.0779,"4,900,961","$91,849,000,000","$680,000,000","$9,085,000,000","2,744,538","37,000","205,500",61,0,10,0,44,11,132,73,67,37,121,67,19,0,0,0,0,0,0,31,4
Germany,0.2463,"84,119,100","$5,247,000,000,000","$127,400,090,000","$6,862,470,230,000","38,694,786","184,324","860,000",569,127,16,27,292,49,296,222,134,101,0,0,96,0,0,0,11,6,6,54,12
Ghana,2.4566,"34,589,092","$243,124,000,000","$954,423,756","$29,241,000,000","14,873,310","15,500",0,18,0,5,2,9,0,0,0,0,0,6,4,20,0,0,0,0,0,0,20,0
Greece,0.5484,"10,461,091","$192,205,000,000","$8,242,150,000","$605,000,000,000","4,916,713","142,700","221,350",560,178,86,8,285,28,"1,344",874,589,383,698,454,186,0,0,0,14,0,9,45,3
Guatemala,2.1277,"18,255,216","$232,673,000,000","$616,000,000","$11,862,000,000","7,484,639","106,114","90,000",35,0,0,2,20,0,0,0,0,0,110,66,25,0,0,0,0,0,0,20,0
Honduras,2.2575,"9,529,188","$71,297,000,000","$612,300,000","$7,785,000,000","4,192,843","52,225",0,45,6,10,1,11,0,22,14,0,0,48,31,98,0,0,0,0,0,0,93,0
Hungary,1.0429,"9,855,745","$389,207,000,000","$5,887,250,000","$151,250,000,000","4,632,200","41,600","20,000",80,12,17,0,50,8,220,154,24,17,295,207,,,,,,,,,
Iceland,3.4013,"364,036","$26,561,000,000","$500,000,000","$24,200,000,000","83,728",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,0.1346,"1,409,128,296","$14,244,000,000,000","$109,000,000,000","$212,728,000,000","662,290,299","1,431,000","1,000,000","2,183",476,334,72,594,79,"3,913","2,935",100,75,"5,640","4,230",343,2,0,13,18,21,18,146,0
Indonesia,0.2582,"281,562,465","$4,102,000,000,000","$11,155,297,716","$225,273,000,000","137,965,608","404,500","401,000",460,41,114,15,212,15,331,215,153,99,396,257,338,0,0,0,10,26,4,211,10
Iran,0.3199,"88,386,937","$1,486,000,000,000","$9,230,000,000","$6,759,000,000","49,496,685","610,000","350,000",551,188,103,10,129,13,"2,675","1,605",424,254,"1,803","1,082",109,0,0,0,7,3,25,21,1
Iraq,0.8115,"42,083,436","$585,887,000,000","$8,000,000,000","$15,580,000,000","17,675,043","193,000",0,360,26,111,17,183,39,"1,188",713,434,260,610,366,67,0,0,0,0,1,0,55,0
Ireland,2.0661,"5,233,461","$620,544,000,000","$1,754,400,500","$3,630,000,000,000","2,407,392","7,557","1,720",23,0,8,2,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0
Israel,0.2707,"9,402,617","$472,177,000,000","$34,600,000,000","$163,350,000,000","3,949,099","169,500","465,000",597,239,148,19,127,48,"1,300","1,040",323,258,171,137,82,0,0,0,0,7,6,66,0
Italy,0.2211,"60,964,931","$3,133,000,000,000","$37,325,165,000","$3,025,000,000,000","27,434,219","165,500","18,300",714,88,152,22,352,37,203,142,64,45,108,76,285,2,0,3,14,0,8,15,10
Ivory Coast,2.3884,"29,981,758","$215,018,000,000","$18,200,000","$26,576,000,000","12,292,521","22,000",0,22,0,2,3,14,5,0,0,0,0,4,2,8,0,0,0,0,0,0,7,0
Japan,0.1876,"123,201,945","$5,715,000,000,000","$58,000,000,000","$5,147,667,910,000","52,976,836","251,500","56,000","1,429",217,399,135,583,118,734,587,193,154,480,384,158,0,4,41,8,0,23,6,18
